Codigo;descripcion;FECHA;CANTIDAD;SALIDA;STOCK;PRECIO;TOTAL;CATEGORIA;MARCA
64.30002;MOCHILA ESPALDA UNIFORM;22/10/2017;0;;0;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
64.30003;MOCHILA ESPALDA UNIFORM;22/10/2017;7;;7;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.24200;MOCHILA ESPALDA ONLY GIRL;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.24202;MOCHILA ESPALDA ONLY GIRL;11/10/2017;6;;6;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.24203;MOCHILA ESPALDA ONLY GIRL;11/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.9602.1;MOCHILA ESPALDA ONLY GIRL;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.24203;MOCHILA ESPALDA ONLY GIRL;11/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.26810;"ESPALDA ROCKER NEGRA 17"" NENA";11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.26811;"ESPALDA ROCKER NEGRA 17"" NENA";11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27032;"ESPALDA LSD TEENS CLUB 16"" NENA";22/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27204;"ESPALDA LSD MULTICOLOR NENA 18""";22/10/2017;9;;9;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27214;"ESPALDA LSD MULTICOLOR NENA 18""";11/10/2017;5;;5;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27209;"ESPALDA LSD ESTAMPADA RO/GRI VARON 18""";11/10/2017;8;;8;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27212;"ESPALDA LSD ESTAMPADA AZUL/ ESC VARON 18""";11/10/2017;5;;5;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
91.27215;"ESPALDA LSD ESTAMPADA VERDE/GRIS VARON 18""";11/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
96.4103;"ESPALDA LSD LOGIN COMBINADA NENA 19""";11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
94.978;MOCHILA ESPALDA LSD VARON  ;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
10.1271;MOCHILA ESPALDA SURF LSD;22/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
94.978.1;MOCHILA CON ESTAMPADO NENA;11/10/2017;11;;11;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
94.970.3;MOCHILA LSD ESTAMPADA;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD
10.1200;ESPALDA LSD LISOS UNISEX ;22/10/2017;41;;41;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
10.1202;"MOCHILA ESPALDA LSD ESTAMPADA NENA 16""";11/10/2017;76;;76;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
10.1203;MOCHILA  ESPALDA LSD ESTAMPADA VARON;22/10/2017;37;;37;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1197;"MOCHILA ESPALDA LSD PLANNING 18""";11/10/2017;5;;5;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1198;"MOCHILA ESPALDA LSD PLANNING 18""";22/10/2017;3;;3;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1200;"MOCHILA ESPALDA LSD PLANNING 18""";22/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1207;"MOCHILA ESPALDA LSD PLANNING 18""";22/10/2017;6;;6;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1208;"MOCHILA ESPALDA LSD PLANNING 18""";22/10/2017;11;;11;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1209;"MOCHILA ESPALDA LSD PLANNING 18""";11/10/2017;8;;8;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.1211;"MOCHILA ESPALDA LSD PLANNING 18""";11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.25306;"MOCHILA ESPALDA LSD AIR 17.5""";22/10/2017;10;;10;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.25308;"MOCHILA ESPALDA LSD AIR 17.5""";11/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.25700;"MOCHILA ESPALDA LSD S.W.A.T. 18""";11/10/2017;7;;7;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.25701;"MOCHILA ESPALDA LSD S.W.A.T. 18""";11/10/2017;15;;15;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26000;ESPALDA LSD WINSITE ESTAMPADA VARON 17,5;22/10/2017;0;;0;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26003;ESPALDA LSD WINSITE  VARON 17,5;17/10/2017;24;;24;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26004; ESPALDA LSD WINSITE ESTAMPADA VARON 17,6;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26010;ESPALDA LSD WINSITE ESTAMPADA NENA 17,5;11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26012;ESPALDA LSD WINSITE ESTAMPADA NENA 17,6;11/10/2017;8;;8;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26014;ESPALDA LSD WINSITE ESTAMPADA NENA 17,7;22/10/2017;6;;6;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26015;ESPALDA LSD WINSITE ESTAMPADA NENA 17,8;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26721;"ESPALDA LSD CARBONO 18""";31/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.26724;"ESPALDA LSD CARBONO 18""";31/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.28300;"ESPALDA LSD REFLEX 19""";17/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.28302;"ESPALDA LSD REFLEX 19""";17/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.28501;"ESPALDA LSD SUNSET 18""";17/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.28502;"ESPALDA LSD SUNSET 18""";17/10/2017;12;;12;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.33001;"MOCHILA ESPALDA LSD B/ONE ESTAMPADA NENA 18""";01/11/2017;6;;6;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
91.33007;"MOCHILA ESPALDA LSD B/ONE ESTAMPADA NENA 18""";01/11/2017;6;;6;;;MOCHILAS ESPALDA;MOCHILA ESPALDA LSD 2018
2485;" MOCHILA ESPALDA ME 14""";11/10/2017;4;;4;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2489;" MOCHILA ESPALDA ME 15""";11/10/2017;15;;15;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2490;" MOCHILA ESPALDA ME 15""";11/10/2017;11;;11;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2492;" MOCHILA ESPALDA ME 15""";11/10/2017;8;;8;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2493;" MOCHILA ESPALDA ME 17""";11/10/2017;5;;5;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2495;"MOCHILA ESPALDA ME 17""";11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
2499;"MOCHILA ESPALDA ME 18""";11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
4082;MOCHILA ESPALDA MUAA C/PORTANOTBOOK;11/10/2017;5;;5;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
3532;MOCHILA ESPALDA;11/10/2017;67;;67;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
3537;MOCHILA ESPALDA;11/10/2017;2;;2;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
3536;MOCHILA ESPALDA;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
3330;ESPALDA FW;11/10/2017;1;;1;;;MOCHILAS ESPALDA;MOCHILA ESPALDA ME 
445;mochila kossok atenas 445 46.5x29;31/10/2017;0;;0;;;MOCHILAS ESPALDA;MOCHILAS ESPALDA KOSSOK
